task_idx,class,train_time_s,n_connections,delta_connections,n_dead,n_mature,n_active,n_silent,n_newly_activated,mean_theta,mean_obs_var,mean_seen_acc
7,7,0.5171,15864,20,0,0,794,216,10,0.669007,0.06017733,0.130000
8,8,0.5606,16354,15,0,0,794,205,0,0.625482,0.06166394,0.132222
9,9,0.5305,16909,20,0,0,794,195,1,0.611436,0.05994259,0.106000
0,0,0.4605,14068,10,0,0,794,414,380,0.628384,0.08811225,0.990000
1,1,0.4585,14148,20,0,0,794,375,6,0.646736,0.07214434,0.930000
2,2,0.4628,14286,20,0,0,794,337,23,0.658793,0.06665821,0.490000
3,3,0.4664,14478,20,0,0,794,307,6,0.689019,0.06031840,0.270000
4,4,0.4640,14734,20,0,0,794,276,4,0.709941,0.05610240,0.278000
5,5,0.5202,15054,20,0,0,794,257,4,0.692334,0.05306580,0.168333
6,6,0.5028,15433,20,0,0,794,243,2,0.688692,0.05123901,0.148571
7,7,0.5040,15859,20,0,0,794,221,8,0.676589,0.04936561,0.141250
8,8,0.5051,16353,20,0,0,794,208,0,0.692628,0.04919061,0.121111
9,9,0.5017,16911,20,0,0,794,193,2,0.673864,0.04847614,0.100000
0,0,0.4788,14067,10,0,0,794,423,371,0.645753,0.08828690,1.000000
1,1,0.4669,14146,19,0,0,794,362,7,0.655463,0.07302247,0.900000
2,2,0.4696,14283,20,0,0,794,326,18,0.660977,0.06694797,0.426667
3,3,0.4802,14477,17,0,0,794,293,9,0.664393,0.06155343,0.262500
4,4,0.4735,14731,20,0,0,794,263,4,0.673768,0.05755273,0.218000
5,5,0.5425,15048,20,0,0,794,250,2,0.650566,0.05620500,0.180000
6,6,0.5359,15423,20,0,0,794,237,1,0.642265,0.05366795,0.174286
7,7,0.5070,15859,20,0,0,794,213,13,0.661891,0.05141433,0.146250
8,8,0.4938,16354,20,0,0,794,196,0,0.643803,0.04959863,0.134444
9,9,0.4808,16893,20,0,0,794,185,1,0.662987,0.04979175,0.100000
0,0,0.4624,13931,10,0,0,794,419,375,0.630549,0.08797853,1.000000
1,1,0.4915,14010,19,0,0,794,377,3,0.630725,0.07161417,0.965000
2,2,0.4604,14145,20,0,0,794,337,23,0.645229,0.06615072,0.563333
3,3,0.4735,14339,20,0,0,794,303,11,0.645519,0.06186569,0.257500
4,4,0.4657,14592,20,0,0,794,276,5,0.648579,0.05791018,0.278000
5,5,0.5223,14910,20,0,0,794,258,6,0.656036,0.05543444,0.166667
6,6,0.4966,15289,20,0,0,794,233,1,0.644878,0.05240016,0.148571
7,7,0.5006,15722,18,0,0,794,219,7,0.664220,0.04988051,0.168750
8,8,0.4988,16207,20,0,0,794,205,0,0.681027,0.04941165,0.116667
9,9,0.4963,16758,20,0,0,794,188,0,0.687272,0.04886192,0.100000
0,0,0.4769,14169,10,0,0,794,426,368,0.637004,0.08769716,1.000000
1,1,0.4813,14247,18,0,0,794,372,6,0.661086,0.07212122,0.930000
2,2,0.4738,14383,20,0,0,794,327,25,0.659144,0.06534962,0.446667
3,3,0.4727,14581,20,0,0,794,303,9,0.650761,0.06075938,0.265000
4,4,0.4869,14835,20,0,0,794,273,3,0.607512,0.05589993,0.258000
5,5,0.5153,15152,20,0,0,794,255,2,0.680569,0.05811826,0.166667
6,6,0.4782,15524,20,0,0,794,239,4,0.693787,0.05640282,0.144286
7,7,0.4722,15954,20,0,0,794,215,9,0.669813,0.05440206,0.141250
8,8,0.4779,16442,20,0,0,794,191,0,0.673423,0.05301228,0.112222
9,9,0.4771,16986,20,0,0,794,179,1,0.664957,0.05280103,0.100000
0,0,0.4591,14178,10,0,0,794,435,359,0.626346,0.08915982,1.000000
1,1,0.5239,14258,20,0,0,794,385,7,0.618557,0.07224029,0.915000
2,2,0.4921,14398,20,0,0,794,345,15,0.624454,0.06587799,0.503333
3,3,0.5276,14586,19,0,0,794,307,7,0.610955,0.06063864,0.330000
4,4,0.5417,14839,20,0,0,794,276,7,0.582986,0.05660697,0.252000
5,5,0.5339,15151,20,0,0,794,262,3,0.596066,0.05467353,0.166667
6,6,0.4996,15525,20,0,0,794,244,2,0.600896,0.05342945,0.154286
7,7,0.4905,15954,20,0,0,794,218,9,0.647277,0.05113568,0.132500
8,8,0.5139,16446,20,0,0,794,204,1,0.665860,0.05077029,0.122222
9,9,0.5024,17004,20,0,0,794,192,2,0.666254,0.05024879,0.100000
0,0,0.5072,14117,10,0,0,794,442,352,0.629062,0.08949180,1.000000
1,1,0.5447,14194,17,0,0,794,371,7,0.618222,0.07385773,0.905000
2,2,0.5180,14334,20,0,0,794,330,25,0.611626,0.06769650,0.520000
3,3,0.5075,14526,20,0,0,794,291,11,0.598880,0.06169497,0.260000
4,4,0.4750,14783,20,0,0,794,268,2,0.604215,0.05724971,0.318000
5,5,0.5687,15098,20,0,0,794,254,6,0.589562,0.05588115,0.176667
6,6,0.5046,15467,20,0,0,794,235,0,0.612519,0.05419325,0.150000
7,7,0.5076,15907,20,0,0,794,216,11,0.631294,0.05203087,0.142500
8,8,0.5075,16387,20,0,0,794,203,0,0.655866,0.05170291,0.123333
9,9,0.4920,16928,15,0,0,794,189,2,0.675119,0.05052429,0.101000
0,0,0.4627,14088,10,0,0,794,431,363,0.630507,0.08756419,1.000000
1,1,0.4511,14161,13,0,0,794,367,10,0.634142,0.07252537,0.920000
2,2,0.4514,14294,20,0,0,794,331,16,0.631102,0.06766249,0.440000
3,3,0.4957,14494,20,0,0,794,298,4,0.647497,0.06276931,0.255000
4,4,0.4532,14738,20,0,0,794,272,8,0.593704,0.05786295,0.230000
5,5,0.4963,15054,18,0,0,794,257,4,0.595142,0.05701644,0.175000
6,6,0.4583,15434,20,0,0,794,239,4,0.627751,0.05468989,0.170000
7,7,0.4912,15855,20,0,0,794,215,8,0.578133,0.05284450,0.171250
8,8,0.4970,16346,20,0,0,794,192,0,0.557314,0.05164537,0.124444
9,9,0.4985,16896,20,0,0,794,179,0,0.580670,0.05082334,0.101000
0,0,0.4757,14050,10,0,0,794,424,370,0.633503,0.08849497,1.000000
1,1,0.4783,14130,20,0,0,794,388,5,0.635704,0.07315771,0.825000
2,2,0.4633,14263,20,0,0,794,341,27,0.647529,0.06682096,0.366667
3,3,0.4669,14463,20,0,0,794,303,7,0.630858,0.06189039,0.270000
4,4,0.4630,14723,20,0,0,794,286,3,0.651850,0.05779576,0.216000
5,5,0.5155,15037,20,0,0,794,260,2,0.688208,0.05970600,0.173333
6,6,0.4788,15399,20,0,0,794,240,6,0.685067,0.05625999,0.185714
7,7,0.5112,15833,20,0,0,794,222,7,0.677215,0.05338918,0.163750
8,8,0.5119,16326,20,0,0,794,209,0,0.649085,0.05106425,0.115556
9,9,0.5152,16877,20,0,0,794,195,0,0.668583,0.05015888,0.100000
